ax,ay,az
308,194,7000
360,210,7020
346,154,6962
338,210,6960
306,238,6986
314,206,6992
260,214,6942
284,166,6960
306,190,6996
340,152,6948
342,160,6962
334,224,7046
324,160,7000
316,222,7062
318,204,7008
322,190,6992
326,206,6942
346,224,6958
320,204,6992
366,248,6914
310,214,6924
276,138,6982
358,242,6982
322,166,7058
296,180,6920
352,174,6988
348,150,7044
268,138,7030
244,216,6972
354,228,7012
294,188,6882
298,196,6952
374,182,6976
316,256,6982
314,164,7058
300,172,7020
306,232,6964
324,184,7002
360,198,7088
272,180,7010
328,174,7012
340,194,6938
396,202,7024
312,250,7034
340,246,6994
338,194,7000
332,204,6938
280,232,6990
386,196,7018
322,234,6974
276,218,6970
314,182,6978
312,228,6964
338,182,6962
316,214,6968
312,212,7040
286,216,6916
314,216,6966
302,178,6966
280,224,7014
274,184,6958
282,222,7020
302,212,7036
288,162,6968
282,166,6950
302,194,7044
332,176,6956
298,254,7018
314,204,7030
316,200,7016
334,204,7068
312,186,7032
328,190,6972
392,218,6990
316,244,6908
342,168,6992
336,210,6938
334,188,6986
356,188,7034
308,188,7028
326,146,6998
278,222,6958
276,190,7012
336,170,7040
296,198,6958
270,246,6928
308,154,6996
262,152,7016
340,178,6966
330,182,7052
326,200,7018
340,220,7000
390,190,7032
356,208,7000
324,176,7014
370,202,6958
388,180,6976
370,206,6964
334,190,7010
302,166,6992
332,228,7034
314,194,6948
266,192,6994
316,216,7042
290,188,7002
268,252,7012
314,216,6968
240,202,6984
338,196,7040
318,166,6976
314,190,7038
352,204,6982
348,228,7006
290,224,6944
314,210,6920
370,158,7006
388,152,6944
318,154,6932
338,258,7008
328,196,7002
296,180,6952
348,202,7020
282,196,6964
284,200,6966
316,176,7008
290,218,7058
300,200,7000
318,214,6992
348,160,6948
320,196,6968
322,206,6930
284,214,6944
314,212,7054
282,224,7024
344,176,6996
356,212,6962
338,216,7000
334,242,6934
302,214,6980
326,186,7028
324,176,7016
350,206,6964
356,264,7010
240,222,6894
418,212,6996
322,148,6948
288,222,7004
296,200,6992
326,138,7000
294,244,7006
290,120,6936
314,154,7010
312,194,6992
314,206,6926
240,184,6974
340,156,6964
312,212,6904
290,254,7038
292,206,6966
314,200,6948
320,232,7034
344,180,7006
370,214,7000
338,212,7082
330,214,6998
314,156,6982
320,210,6966
378,200,6988
338,238,6974
352,228,7024
326,196,6962
324,176,6950
308,218,7034
344,170,6970
320,220,7062
318,212,6918
282,190,6990
306,174,6948
336,202,7052
294,204,6996
288,224,6980
306,188,6948
304,192,6900
308,202,6980
356,180,7026
254,176,6962
318,222,6926
272,188,7000
360,214,7032
282,210,6986
356,146,6958
356,186,6962
322,202,6950
388,208,6972
336,202,6990
330,222,7028
386,190,6914
312,218,6946
402,208,6942
344,180,6956
344,190,6970
372,256,6996
340,214,6994
308,162,6914
292,194,7064
316,182,6934
302,180,6996
304,192,7018
244,206,7042
310,172,7098
318,174,6954
298,174,6948
274,224,7014
346,216,6970
336,224,7040
348,242,7016
326,234,6954
356,198,6938
360,184,6992
320,230,6932
276,158,6926
334,210,6916
332,186,6928
276,172,6974
302,148,6970
300,230,7012
336,168,6860
276,192,7078
330,198,7034
320,162,6982
332,240,6996
326,160,7060
368,214,6944
272,188,6982
320,196,6978
370,204,6988
310,210,7048
366,170,6944
328,186,7024
334,152,7024
314,196,6952
296,220,6960
372,244,7016
394,186,7042
306,208,7006
284,234,6966
330,186,7068
328,226,6996
256,154,6976
268,172,6962
278,188,6968
308,156,7018
226,128,6954
310,160,7082
306,210,7004
304,216,7074
314,184,7012
410,254,6994
312,196,7030
366,230,6942
310,162,6958
286,184,6908
374,184,7008
348,180,7044
296,218,6940
340,170,6954
304,174,6958
286,200,6966
316,152,6978
350,206,7016
308,224,7068
320,198,7038
324,178,7074
272,166,7036
300,150,7100
272,182,7066
270,132,7032
324,208,7048
332,234,6968
320,174,6964
354,222,6988
362,176,7070
362,146,6972
324,216,6964
350,196,7008
356,264,7016
358,168,6942
342,214,7016
312,196,6980
322,208,6988
364,226,6954
326,174,7020
358,140,6996
270,170,7008
234,130,6992
334,168,7016
306,188,6990
282,212,7042
336,198,7044
300,174,6998
328,212,7020
324,190,6996
348,220,6964
374,212,7044
298,174,6982
390,226,6928
348,204,6970
356,180,6942
330,238,6986
300,158,6906
332,194,6974
390,216,6998
388,176,7004
332,230,7014
424,136,6762
244,236,7108
422,186,7028
408,170,7100
488,244,6922
454,246,7206
582,142,7142
536,180,7050
546,286,7320
688,214,7694
942,220,7298
1110,194,7194
1342,164,7308
1600,226,7404
1942,228,7160
2438,120,6808
2646,248,6850
3026,58,6662
3446,94,6370
4132,366,6196
4412,114,5774
4900,174,5592
5180,190,5424
5506,170,4822
6194,374,4226
6412,256,3908
7018,224,3792
6860,224,3386
7066,102,3188
7478,114,2328
7624,140,1806
7780,136,1816
8166,340,1410
8726,180,1274
8288,56,1314
8272,18,1332
8238,18,1634
7938,-10,1590
