ax,ay,az
1138,-526,6840
1098,-398,6952
1034,-496,7174
1106,-618,7110
1104,-556,7154
1148,-522,6942
1084,-460,6896
1086,-488,6916
1074,-646,7022
1180,-584,7174
1120,-608,7198
1024,-526,7110
1160,-426,7018
1002,-250,7024
886,-150,7406
792,-252,8026
11794,4562,2404
1130,9238,16906
-5106,6278,19940
-4854,192,15536
-968,852,12094
136,1438,8394
-92,1488,7330
82,1696,6072
1956,616,4930
2266,396,3810
2142,794,3884
1718,462,4882
824,380,6356
430,298,7442
606,-204,7674
900,-592,7588
962,-652,7418
1026,-522,7170
1188,-362,6984
1052,-258,6924
1158,-130,6850
1158,-184,6698
1204,-222,6530
1166,-378,6570
1128,-374,6870
1184,-380,7088
1120,-452,7062
1192,-462,6906
1166,-416,6914
1190,-436,7140
1122,-358,6942
1062,-286,6848
1138,-324,6808
1168,-338,6968
1060,-292,6972
974,-272,7010
964,-254,7038
1038,-386,6988
1120,-384,6944
1038,-292,6920
1072,-234,6986
996,-350,7038
1070,-398,7002
1094,-364,6870
1134,-324,6954
1028,-366,7038
1004,-346,7116
1028,-262,6964
1056,-264,6814
1122,-322,6988
1054,-324,7112
954,-318,7186
1034,-324,7086
1160,-362,6886
1128,-370,6854
1004,-368,6960
970,-314,7088
960,-276,7084
1020,-288,7092
1150,-296,7012
1034,-278,7088
932,-376,7130
870,-308,7074
976,-394,7238
1050,-442,6912
1058,-360,6646
1184,-168,6712
1186,-168,6908
1106,-250,6872
1090,-352,7066
1052,-402,7174
1082,-250,7120
1206,-402,6954
1348,-446,6842
1294,-414,6692
1300,-390,6662
1188,-486,6632
1260,-498,6490
1372,-516,6642
1066,-390,6966
-32768,722,4090
-4444,306,9040
5530,806,7104
12618,1680,6050
8414,248,4006
2476,-1072,3816
-2408,-2048,5712
-3664,-1184,8224
12,68,10204
1378,556,8800
1252,-452,6770
1470,-384,5810
1784,-22,5902
1518,-158,6458
1048,-302,7084
814,-324,7628
848,-414,7532
1142,-536,7022
1390,-568,6638
1408,-398,6650
1204,-320,6750
1172,-356,6908
1154,-434,6968
1164,-382,6892
1232,-382,6880
1178,-350,7006
1124,-350,7150
1062,-366,7102
1084,-320,6948
1194,-298,6864
1218,-292,6882
1188,-330,6904
1198,-326,6952
1160,-418,7010
1120,-446,7056
1244,-334,7016
1198,-306,6832
1242,-398,6884
1238,-404,6908
1204,-316,6878
1170,-360,6944
1096,-410,7082
1232,-474,7032
1206,-430,6952
1096,-296,6984
1090,-242,7034
1118,-322,7072
1150,-326,6934
1200,-406,6870
1286,-422,6898
1236,-416,6964
1154,-498,6984
1222,-410,6950
1266,-406,6968
1200,-426,6832
1260,-328,6906
1214,-260,6874
1138,-468,6910
1204,-384,7072
1152,-454,7170
1168,-446,7000
1220,-378,6788
1248,-374,6692
1114,-302,6836
1122,-308,7030
1142,-344,7002
1088,-276,7010
1150,-312,7076
-7276,-756,6490
9762,1056,9018
6188,1288,3832
2134,-2040,3688
-1232,-1338,5292
-102,-562,8528
1318,38,9064
892,-384,7612
1148,-732,6750
1592,-610,6550
1630,-450,6576
1172,-370,6570
1064,-210,7078
960,-44,7358
782,-30,7338
980,-266,7016
1220,-308,6876
1302,-386,6832
1208,-504,6962
1040,-572,7174
1222,-462,7044
1284,-524,6840
1352,-466,6686
1378,-444,6654
1280,-466,6868
1164,-518,6954
1130,-432,6976
1252,-310,6988
1188,-378,6924
1182,-408,7034
1176,-510,6938
1208,-512,7038
1134,-382,7104
1158,-388,6994
1174,-436,6794
1124,-392,6882
1128,-318,7050
1176,-420,7066
1188,-448,6996
1188,-422,7024
1196,-420,6956
1196,-480,7044
1134,-458,6974
1168,-364,6880
1250,-426,6828
1298,-484,6936
1264,-456,6962
1260,-476,7050
1264,-474,7016
1252,-444,6994
1280,-488,6854
1230,-502,6900
1234,-468,6812
1248,-458,6826
1166,-478,6842
1176,-374,6972
1148,-394,6940
1072,-312,6958
1142,-276,7088
1084,-332,7102
1118,-358,7136
1636,-2542,10672
-4216,1564,3122
7516,1306,9262
19346,1736,6334
5308,-434,3522
-104,-2344,4182
-4160,-2542,5940
-2896,-1204,8944
1150,288,9892
2100,246,7738
1444,-670,5838
1760,-448,5414
1664,-106,6060
1116,-270,6750
786,-350,7428
724,-332,7936
720,-314,8136
